Customer Account ID,Site ID,Modem Serial Number,Model,Connection Speed (Mbps),Uptime (days),Signal Strength (dBm),Packet Loss (%),Error Rate (%),SNR (Signal-to-Noise Ratio),RSSI (Received Signal Strength Indicator),Modulation Type,Error Type,Error Count,Temperature (°C),Power Level (dBm),Last Checkup Date,Failure Date,Next Predicted Failure (days)
ACC-51894,SITE-6122,3b7051fa,Motorola MB7621,645.24,116,-64.8,0.07,2.1,14.7,-49.16,QAM64,CRC Errors,219,36.9,5.81,2020-04-13,2020-06-21,69
ACC-93632,SITE-8602,261046ee,Netgear CM500,607.91,336,-65.3,0.15,2.15,46.32,-50.37,QAM256,Overheating,225,31.9,3.77,2022-07-22,2023-02-07,200
ACC-94679,SITE-6998,71c1282e,TP-Link Archer C7,494.42,339,-58.8,8.85,2.35,40.12,-80.56,QAM256,Sync Loss,66,78.1,5.39,2023-12-13,2024-04-18,127
ACC-65717,SITE-9492,b0a4df97,TP-Link Archer C7,1039.09,197,-54.9,4.72,1.12,33.17,-46.27,QAM256,Signal Fading,191,43.1,-4.61,2021-02-03,2021-10-11,250
ACC-99615,SITE-6296,cc4c51df,Netgear CM500,553.72,253,-79.7,2.76,4.76,10.95,-47.05,QPSK,Sync Loss,466,39.4,-9.47,2023-03-13,2024-02-29,353
ACC-92170,SITE-5966,5f500ee1,Technicolor CGM4231,1476.03,303,-94.5,7.16,0.9,37.97,-115.88,QAM64,Signal Fading,356,76.2,-0.89,2022-03-02,2022-08-12,163
ACC-13498,SITE-3755,ddcce40b,Arris TG2492,289.08,226,-50.2,0.14,1.69,39.23,-57.8,QAM256,Signal Fading,16,37.7,-8.21,2020-07-27,2021-07-04,342
ACC-64111,SITE-6190,9aa77a22,Motorola MB7621,1492.44,21,-84.0,5.76,4.72,19.73,-79.51,QAM16,Packet Drops,76,72.4,-7.87,2023-02-07,2024-01-21,348
ACC-84781,SITE-2635,71956246,Netgear CM500,822.98,260,-77.5,0.67,0.8,29.58,-42.02,QAM256,Sync Loss,68,75.9,-9.51,2021-02-07,2021-06-28,141
ACC-51400,SITE-1390,f31add61,Motorola MB7621,404.42,61,-34.7,3.02,4.97,37.84,-98.88,QAM256,Overheating,237,68.8,-4.64,2020-01-17,2020-06-23,158
ACC-44990,SITE-8882,b02d08d2,Netgear CM500,1097.38,237,-47.3,8.0,4.43,35.41,-85.18,QAM64,Sync Loss,117,48.2,-2.64,2023-07-24,2023-12-25,154
ACC-75041,SITE-7541,a211d06b,Arris TG2492,575.03,73,-54.9,0.33,3.61,10.31,-119.39,QPSK,Sync Loss,274,66.3,2.95,2023-03-02,2023-12-07,280
ACC-22970,SITE-5077,b9aa66f8,Technicolor CGM4231,780.41,314,-42.8,5.92,2.65,20.67,-56.29,QAM16,Overheating,445,50.1,-8.33,2023-03-10,2024-02-22,349
ACC-36131,SITE-2165,79ea2e0f,Technicolor CGM4231,1377.12,81,-35.7,7.38,2.19,27.91,-98.01,QPSK,Signal Fading,100,34.3,8.78,2020-04-06,2021-03-26,354
ACC-34410,SITE-9868,d17d47df,TP-Link Archer C7,1313.0,125,-56.4,3.8,2.68,17.25,-61.15,QAM64,Sync Loss,172,66.7,2.14,2020-03-31,2020-07-10,101
ACC-34352,SITE-9624,eb46f81e,Technicolor CGM4231,1242.45,327,-56.1,9.18,1.83,32.87,-110.33,QAM16,Signal Fading,223,48.8,-5.72,2020-09-18,2020-10-13,25
ACC-22380,SITE-4160,9a8ecbb3,Motorola MB7621,697.32,269,-57.2,7.6,0.69,23.98,-79.4,QAM16,Sync Loss,73,69.3,8.72,2023-01-15,2023-06-21,157
ACC-51002,SITE-9795,955d5b5b,Technicolor CGM4231,1358.07,138,-84.0,4.62,2.17,48.75,-54.02,QAM256,Overheating,258,52.8,-9.92,2020-01-06,2020-07-17,193
ACC-67544,SITE-3860,5ca95895,Arris TG2492,872.46,194,-90.1,0.89,0.59,29.42,-58.53,QAM16,Overheating,101,57.8,4.98,2021-12-13,2022-05-02,140
ACC-57470,SITE-8694,14a1d4a7,Motorola MB7621,299.83,117,-61.5,2.87,3.39,26.01,-75.28,QAM256,Overheating,198,38.6,-6.75,2020-09-10,2021-04-06,208
ACC-86402,SITE-9821,9532b5c9,Technicolor CGM4231,772.73,19,-40.8,8.09,2.06,45.67,-51.51,QPSK,Sync Loss,458,41.6,-3.51,2021-10-26,2022-03-07,132
ACC-27110,SITE-3370,6cff7490,Motorola MB7621,185.37,318,-43.4,8.7,2.1,26.07,-81.62,QAM64,Packet Drops,333,62.7,-7.45,2022-05-01,2023-01-18,262
ACC-70131,SITE-5326,37739411,Arris TG2492,849.53,250,-99.8,8.79,0.08,20.88,-68.22,QAM64,Packet Drops,26,56.9,3.65,2022-11-15,2023-08-06,264
ACC-95819,SITE-1789,75f00d9a,Technicolor CGM4231,532.85,290,-39.3,8.43,0.13,23.63,-50.69,QPSK,Packet Drops,443,31.9,6.85,2022-06-02,2022-12-02,183
ACC-12140,SITE-8884,16a4d603,Arris TG2492,988.37,64,-100.0,1.83,3.17,28.53,-93.05,QAM256,CRC Errors,203,49.1,8.25,2023-09-30,2024-03-09,161
ACC-67913,SITE-3551,ffde9758,TP-Link Archer C7,843.05,224,-66.8,4.37,0.3,42.08,-46.3,QAM16,CRC Errors,362,56.0,-3.61,2023-05-31,2023-07-29,59
ACC-35356,SITE-5188,e317ac53,Arris TG2492,730.33,277,-43.2,2.31,2.75,30.67,-111.57,QAM256,Signal Fading,284,78.1,-2.39,2023-08-19,2024-01-14,148
ACC-34464,SITE-6178,751dbbaf,Motorola MB7621,1047.24,196,-83.5,6.48,0.17,25.9,-57.88,QAM256,Overheating,344,49.7,-3.55,2021-12-20,2022-06-10,172
ACC-20352,SITE-3654,fc2bf54c,Technicolor CGM4231,664.72,128,-85.6,2.98,4.48,15.23,-70.55,QAM64,CRC Errors,491,79.6,-5.06,2023-03-02,2023-07-14,134
ACC-84501,SITE-4566,04edd006,Arris TG2492,378.36,350,-84.2,6.29,3.14,41.45,-89.34,QAM64,Overheating,291,79.4,1.94,2023-09-06,2023-09-15,9
ACC-38962,SITE-6748,3f4826cc,Arris TG2492,1325.43,287,-35.7,3.25,4.49,12.23,-104.87,QAM64,Sync Loss,232,55.6,5.31,2023-12-18,2024-07-14,209
ACC-49386,SITE-8492,0e2daf0b,Netgear CM500,1178.09,210,-77.3,7.01,1.35,37.13,-84.29,QAM256,Overheating,23,82.9,4.49,2021-07-14,2022-02-12,213
ACC-24447,SITE-7067,1e092a78,Technicolor CGM4231,707.92,23,-36.1,8.4,1.41,45.85,-73.1,QAM64,Signal Fading,236,31.2,5.12,2021-06-03,2022-02-04,246
ACC-95534,SITE-9513,ae4e795b,TP-Link Archer C7,1132.68,59,-44.4,2.31,3.96,25.49,-42.33,QPSK,Overheating,485,61.0,7.58,2021-11-06,2022-06-01,207
ACC-23543,SITE-7283,8ba477c2,Technicolor CGM4231,830.63,342,-84.9,4.76,0.91,31.24,-60.26,QAM256,Packet Drops,20,83.6,-9.23,2020-06-02,2020-08-03,62
ACC-57444,SITE-8731,12e73151,Motorola MB7621,639.18,322,-58.9,2.74,0.03,27.75,-92.8,QAM256,Overheating,401,75.5,3.52,2020-05-24,2020-05-29,5
ACC-42017,SITE-4497,84e493cc,TP-Link Archer C7,666.68,227,-53.1,6.82,4.86,16.43,-72.53,QAM256,Packet Drops,242,62.9,-7.79,2023-01-19,2023-07-14,176
ACC-61843,SITE-8450,e6502582,TP-Link Archer C7,913.09,266,-40.4,0.47,0.47,12.84,-67.04,QAM256,Overheating,300,39.9,9.53,2020-12-02,2020-12-26,24
ACC-14666,SITE-2799,7b7b3680,Arris TG2492,1250.27,247,-69.8,0.27,5.0,13.87,-50.97,QAM16,CRC Errors,54,59.0,7.37,2022-04-06,2022-10-21,198
ACC-75422,SITE-1726,e22545cd,Arris TG2492,1169.11,271,-76.8,2.73,3.57,30.07,-106.92,QPSK,Overheating,287,38.9,0.46,2022-12-31,2023-10-07,280
ACC-14769,SITE-6850,e3850b48,TP-Link Archer C7,604.21,9,-90.1,2.15,1.48,49.14,-85.38,QPSK,Packet Drops,130,38.7,-7.64,2020-12-12,2021-09-08,270
ACC-99612,SITE-3533,c9c644dc,Motorola MB7621,189.59,247,-40.9,4.6,4.31,26.06,-82.01,QAM256,CRC Errors,378,67.1,-2.49,2021-05-01,2021-06-06,36
ACC-62385,SITE-6927,c40cedfd,TP-Link Archer C7,769.81,76,-56.3,2.1,3.47,26.31,-84.73,QAM16,CRC Errors,278,62.5,5.92,2020-09-06,2021-04-12,218
ACC-16459,SITE-5315,1fe66e4b,Technicolor CGM4231,182.5,239,-84.4,9.56,2.07,43.46,-55.73,QAM64,Sync Loss,289,68.5,4.71,2022-08-27,2023-03-14,199
ACC-60718,SITE-1573,c29db807,Technicolor CGM4231,822.94,73,-55.4,3.55,1.5,16.69,-40.12,QAM256,Overheating,185,78.9,0.8,2021-06-16,2021-11-20,157
ACC-81663,SITE-3592,ab7a55ed,Technicolor CGM4231,849.2,226,-81.5,3.91,4.1,48.64,-65.63,QAM16,Overheating,262,53.1,-0.54,2022-05-12,2023-02-14,278
ACC-96712,SITE-9492,cf17dc35,Arris TG2492,1342.52,222,-94.2,4.3,2.67,30.75,-62.98,QAM16,CRC Errors,417,84.8,8.95,2022-05-21,2022-06-03,13
ACC-79093,SITE-5238,ccd88e7d,Netgear CM500,1439.45,122,-33.4,0.17,1.28,14.46,-94.78,QPSK,CRC Errors,424,42.8,-9.84,2021-12-11,2022-02-28,79
ACC-35611,SITE-7288,af02d057,TP-Link Archer C7,1299.34,244,-35.1,7.43,0.86,14.75,-73.18,QAM256,CRC Errors,257,56.7,-4.28,2022-01-19,2022-08-11,204
ACC-19939,SITE-8492,d796b1c9,TP-Link Archer C7,577.39,301,-92.6,3.59,0.26,17.77,-48.52,QPSK,Signal Fading,96,71.9,-5.17,2021-02-28,2021-09-23,207
ACC-83769,SITE-1359,084320d0,Netgear CM500,1190.5,161,-91.8,2.61,1.03,21.67,-47.52,QPSK,Signal Fading,178,36.8,-1.12,2023-07-20,2024-06-25,341
ACC-54398,SITE-5537,5319e809,TP-Link Archer C7,957.64,45,-65.2,3.47,3.94,48.09,-79.53,QPSK,Overheating,348,36.8,0.24,2021-12-25,2022-08-30,248
ACC-22494,SITE-4112,61f26ab7,Motorola MB7621,546.96,297,-64.0,8.27,4.34,33.32,-113.53,QPSK,Signal Fading,67,70.6,-6.7,2022-09-18,2022-11-10,53
ACC-82616,SITE-4731,703965d1,TP-Link Archer C7,225.13,215,-70.4,1.98,0.73,39.93,-78.32,QAM256,CRC Errors,350,30.6,-3.68,2022-05-14,2023-04-02,323
ACC-42021,SITE-3397,ae16ff09,Technicolor CGM4231,839.59,194,-49.6,0.09,0.2,34.81,-105.46,QPSK,Sync Loss,250,64.7,6.58,2022-03-08,2022-04-04,27
ACC-78336,SITE-8890,9e5b8a16,Arris TG2492,318.76,183,-46.6,7.08,4.97,16.79,-119.39,QAM64,Overheating,214,45.2,3.34,2020-01-03,2020-11-09,311
ACC-98102,SITE-9345,3820c90a,Motorola MB7621,823.89,74,-55.3,2.16,4.71,36.46,-116.39,QAM16,Sync Loss,478,77.9,-6.36,2020-04-19,2020-10-23,187
ACC-77457,SITE-7470,db3d43e5,Motorola MB7621,439.4,255,-31.0,5.64,0.72,38.82,-95.34,QAM16,Sync Loss,226,69.8,-5.41,2023-09-25,2024-01-27,124
ACC-63415,SITE-7268,38c1dd28,Arris TG2492,499.73,259,-31.2,7.15,3.25,35.79,-117.77,QPSK,CRC Errors,410,36.6,-9.85,2023-12-29,2024-11-12,319
ACC-72385,SITE-4549,22acca1f,Netgear CM500,205.4,358,-48.2,5.39,0.17,39.7,-85.11,QAM16,Packet Drops,209,38.7,-3.02,2023-05-19,2024-01-23,249
ACC-34679,SITE-7338,60a4485b,Motorola MB7621,145.84,168,-90.4,10.0,1.94,16.88,-90.52,QPSK,CRC Errors,227,83.4,-5.79,2020-03-17,2020-06-21,96
ACC-27823,SITE-9459,72533c58,Arris TG2492,1481.13,358,-84.4,8.37,3.68,26.15,-88.27,QPSK,Signal Fading,415,62.5,-2.12,2021-08-23,2022-02-01,162
ACC-71012,SITE-7641,853e4b96,Arris TG2492,1373.37,354,-42.8,2.57,3.58,23.54,-92.85,QAM256,Sync Loss,314,81.4,3.47,2023-08-15,2023-09-16,32
ACC-53695,SITE-5761,23118989,Netgear CM500,834.47,228,-69.9,4.14,1.75,14.01,-85.96,QAM256,Signal Fading,451,49.8,-3.65,2023-09-21,2023-10-18,27
ACC-83089,SITE-1886,978b5fe5,Motorola MB7621,391.62,125,-42.0,5.23,0.38,43.6,-96.97,QAM256,Sync Loss,214,48.0,6.44,2020-05-07,2021-03-22,319
ACC-51439,SITE-6214,c9461b06,TP-Link Archer C7,1047.15,348,-56.0,4.55,3.46,42.94,-112.57,QAM64,CRC Errors,65,30.0,-5.34,2021-09-29,2022-09-18,354
ACC-90362,SITE-7682,06215b2b,Technicolor CGM4231,1310.75,355,-71.0,7.6,4.86,38.46,-55.43,QAM16,Signal Fading,353,32.2,9.19,2021-08-01,2022-07-27,360
ACC-27051,SITE-8882,84c3a81a,Arris TG2492,227.6,252,-53.6,7.13,1.97,24.75,-111.14,QAM16,Sync Loss,317,30.1,6.09,2023-05-01,2023-06-06,36
ACC-97105,SITE-3660,96631ac7,Arris TG2492,907.63,153,-77.9,1.42,4.68,36.33,-59.23,QAM256,Packet Drops,136,61.5,-0.31,2023-07-08,2023-08-09,32
ACC-19075,SITE-2417,c37692c9,Technicolor CGM4231,1246.56,164,-33.1,8.74,0.4,45.59,-60.4,QAM16,Signal Fading,461,79.6,-3.73,2023-07-01,2023-09-14,75
ACC-64213,SITE-3265,b87bbb88,Motorola MB7621,499.92,171,-97.1,3.21,4.5,17.28,-82.01,QAM256,Packet Drops,184,40.9,6.03,2021-03-21,2021-11-24,248
